Curve Energy
0.0 111.9460881160363
250.0 -5.268734895219673
500.0 -9.321237900664508
750.0 -9.782481454589824
1000.0 -10.07319459084704
1250.0 -10.10672632930538
1500.0 -10.29715112592833
1750.0 -10.56695513657363
2000.0 -10.850477958432
2250.0 -11.00291930855404
2500.0 -10.95422192003504
2750.0 -11.1485417892981
3000.0 -11.51941334225792
3250.0 -11.53169264651734
3500.0 -11.50289374054005
3750.0 -11.7349791141708
4000.0 -12.09980982185051
4250.0 -12.05654063218966
4500.0 -12.36585980374117
4750.0 -12.73898694151341
5000.0 -12.48627012411782
5250.0 -13.0595865967767
5500.0 -13.21406200388551
5750.0 -13.10036518076373
6000.0 -13.2627717989669
6250.0 -13.16882975578267
6500.0 -13.39847739454042
6750.000000000001 -13.63848251631128
6999.999999999999 -13.77468831018178
7250.0 -13.99267162299145
7500.0 -13.99946226350103
7750.0 -13.85349517012419
8000.0 -14.37208545105974
8250.0 -14.06511755745536
8500.0 -14.03585932070595
8750.0 -14.08993310320141
9000.0 -14.27902098532548
9250.0 -14.31144514820737
9500.0 -14.1816338495697
9750.0 -14.09994322231417
10000.0 -14.20661858682224
10250.0 -14.21369420350539
10500.0 -14.18122235690915
10750.0 -14.3203936236895
11000.0 -14.11066982981992
11250.0 -14.07738093833901
11500.0 -14.2301508189112
11750.0 -14.22877987042891
12000.0 -14.3639251940793
12250.0 -14.65455421417468
12500.0 -14.47223519433977
Curve cellvolume
0.0 27000.0
250.0 39572.67578125
500.0 39797.83203125
750.0 39414.5625
1000.0 38952.19921875
1250.0 38721.34765625
1500.0 38483.91796875
1750.0 38088.8828125
2000.0 37576.8359375
2250.0 37180.90234375
2500.0 36949.0078125
2750.0 36713.53125
3000.0 36331.01953125
3250.0 36093.1953125
3500.0 35971.078125
3750.0 35743.2890625
4000.0 35317.24609375
4250.0 35046.28125
4500.0 34780.55859375
4750.0 34429.1484375
5000.0 34358.26953125
5250.0 33862.0234375
5500.0 33447.96484375
5750.0 33290.0390625
6000.0 33059.92578125
6250.0 32986.71484375
6500.0 32805.1796875
6750.000000000001 32466.37109375
6999.999999999999 32259.48828125
7250.0 32078.412109375
7500.0 31988.802734375
7750.0 32072.470703125
8000.0 31750.578125
8250.0 31785.703125
8500.0 31879.564453125
8750.0 31933.880859375
9000.0 31822.490234375
9250.0 31685.486328125
9500.0 31706.23828125
9750.0 31808.78515625
10000.0 31616.751953125
10250.0 31538.6875
10500.0 31636.462890625
10750.0 31637.783203125
11000.0 31749.60546875
11250.0 31681.625
11500.0 31553.259765625
11750.0 31545.59375
12000.0 31388.826171875
12250.0 31080.966796875
12500.0 30966.33984375
