Curve Energy
0.0 -1040.035052134691
125.0 -1033.71338471994
250.0 -1022.59417875691
375.0 -1016.777753726967
500.0 -1015.006111970606
625.0 -1015.482001196458
750.0 -1017.049362562003
874.9999999999999 -1018.472664234078
1000.0 -1018.813779367828
1125.0 -1018.870266473654
1250.0 -1017.620663963363
1375.0 -1016.863989845779
1500.0 -1017.572042228045
1625.0 -1019.277818969067
1750.0 -1018.881057983952
1875.0 -1019.182010551154
2000.0 -1018.867358977683
2125.0 -1018.929767080427
2250.0 -1017.53152938284
2375.0 -1016.624835504714
2500.0 -1016.737620214739
2625.0 -1016.492821295167
2750.0 -1016.809565126616
2875.0 -1017.509998303715
3000.0 -1018.124589879088
3125.0 -1019.411429630132
3250.0 -1019.350453415314
3375.0 -1018.99524528041
3500.0 -1017.384011976303
3625.0 -1017.779106131961
3750.0 -1019.243232462861
3875.0 -1018.76958095866
4000.0 -1019.097186585891
4125.0 -1019.293173654312
4250.0 -1018.103760356426
4375.0 -1018.545948836062
4500.0 -1019.073905407352
4625.0 -1018.773738368006
4750.0 -1017.761911320025
4875.0 -1016.732269686088
5000.0 -1016.503731466126
5125.0 -1017.279805153727
5250.0 -1018.534830218016
5375.0 -1018.531378409306
5500.0 -1017.951832017497
5625.0 -1017.671939495563
5750.0 -1017.662725055224
5875.0 -1018.498379172064
6000.0 -1018.034570441257
6125.0 -1016.945768524245
6250.0 -1017.432840439237
6375.0 -1016.403624613135
6500.0 -1016.558196818538
6625.000000000001 -1017.70043869058
6750.000000000001 -1018.286069459733
6875.000000000001 -1017.987517689157
6999.999999999999 -1017.633672195304
7124.999999999999 -1017.640744191772
7250.0 -1017.888723334619
7375.0 -1018.013499496095
7500.0 -1017.666177607346
7625.0 -1018.405169432777
7750.0 -1017.904389555425
7875.0 -1016.673659860027
8000.0 -1017.103755731986
8125.0 -1018.214526354021
8250.0 -1018.528995694569
8375.0 -1018.255612254407
8500.0 -1017.754843295071
8625.0 -1017.422361033786
8750.0 -1017.7953162238
8875.0 -1017.427295973886
9000.0 -1017.774021602745
9125.0 -1017.737698759357
9250.0 -1017.906566972389
9375.0 -1017.658361210728
9500.0 -1018.305840672898
9625.0 -1018.332662888014
9750.0 -1018.879663578805
9875.0 -1018.202160609931
10000.0 -1017.969479335974
10125.0 -1017.298046254422
10250.0 -1018.477438377698
10375.0 -1018.885962299702
10500.0 -1018.657501699944
10625.0 -1019.011380329299
10750.0 -1017.161325679499
10875.0 -1016.398518997635
11000.0 -1017.200901278026
11125.0 -1017.541180241618
11250.0 -1017.87001069072
11375.0 -1017.255910741765
11500.0 -1017.870991209628
11625.0 -1017.687485083784
11750.0 -1016.883741426009
11875.0 -1016.373643732881
12000.0 -1015.732111678141
12125.0 -1016.808712070876
12250.0 -1017.674987608507
12375.0 -1017.402173392019
12500.0 -1017.871917227136
Curve cellvolume
0.0 15919.328125
125.0 16331.25390625
250.0 16636.14453125
375.0 16633.8359375
500.0 16534.904296875
625.0 16568.541015625
750.0 16506.34765625
874.9999999999999 16472.26953125
1000.0 16545.16015625
1125.0 16571.1171875
1250.0 16563.283203125
1375.0 16538.5859375
1500.0 16495.15234375
1625.0 16419.857421875
1750.0 16528.537109375
1875.0 16527.8125
2000.0 16550.650390625
2125.0 16552.306640625
2250.0 16607.38671875
2375.0 16638.484375
2500.0 16575.158203125
2625.0 16528.78125
2750.0 16524.591796875
2875.0 16457.80859375
3000.0 16477.283203125
3125.0 16421.904296875
3250.0 16483.181640625
3375.0 16462.357421875
3500.0 16517.3359375
3625.0 16450.302734375
3750.0 16386.328125
3875.0 16446.06640625
4000.0 16407.162109375
4125.0 16413.8046875
4250.0 16517.685546875
4375.0 16488.853515625
4500.0 16426.77734375
4625.0 16595.0546875
4750.0 16600.8046875
4875.0 16665.677734375
5000.0 16595.8515625
5125.0 16518.748046875
5250.0 16485.1328125
5375.0 16585.193359375
5500.0 16509.728515625
5625.0 16475.548828125
5750.0 16458.134765625
5875.0 16441.61328125
6000.0 16537.662109375
6125.0 16614.005859375
6250.0 16643.310546875
6375.0 16641.619140625
6500.0 16593.21875
6625.000000000001 16533.287109375
6750.000000000001 16539.888671875
6875.000000000001 16568.326171875
6999.999999999999 16531.615234375
7124.999999999999 16469.953125
7250.0 16480.59765625
7375.0 16536.18359375
7500.0 16556.603515625
7625.0 16540.220703125
7750.0 16566.744140625
7875.0 16533.564453125
8000.0 16549.474609375
8125.0 16522.861328125
8250.0 16526.033203125
8375.0 16562.841796875
8500.0 16534.74609375
8625.0 16575.375
8750.0 16586.32421875
8875.0 16642.873046875
9000.0 16531.294921875
9125.0 16528.275390625
9250.0 16543.447265625
9375.0 16541.880859375
9500.0 16555.96875
9625.0 16532.46875
9750.0 16443.94140625
9875.0 16413.6953125
10000.0 16347.6865234375
10125.0 16323.189453125
10250.0 16354.7216796875
10375.0 16353.33984375
10500.0 16413.3046875
10625.0 16509.56640625
10750.0 16562.56640625
10875.0 16559.28125
11000.0 16558.1328125
11125.0 16605.970703125
11250.0 16522.66796875
11375.0 16572.177734375
11500.0 16590.5
11625.0 16562.302734375
11750.0 16578.5078125
11875.0 16600.224609375
12000.0 16568.58984375
12125.0 16552.7734375
12250.0 16562.564453125
12375.0 16658.35546875
12500.0 16651.66015625
