Curve Energy
0.0 -1070.364285565072
250.0 -1070.669665636868
500.0 -1070.316278445088
750.0 -1070.387553576996
1000.0 -1070.127714843436
1250.0 -1070.140659333658
1500.0 -1070.20744102674
1750.0 -1070.40648003606
2000.0 -1070.144378359431
2250.0 -1070.331630310604
2500.0 -1070.553164480541
2750.0 -1070.467751521677
3000.0 -1070.542147918028
3250.0 -1070.54364627583
3500.0 -1070.426808233151
3750.0 -1070.48368322369
4000.0 -1070.526575310655
4250.0 -1070.493535447452
4500.0 -1070.493286939167
4750.0 -1070.514358757932
5000.0 -1070.369019717267
5250.0 -1070.063029926122
5500.0 -1069.129841721374
5750.0 -1068.039469969795
6000.0 -1066.901524086011
6250.0 -1065.712936065797
6500.0 -1064.426608634757
6750.000000000001 -1063.65582569043
6999.999999999999 -1062.709910032956
7250.0 -1061.219972359951
7500.0 -1060.495437096002
7750.0 -1059.236962599405
8000.0 -1057.7422555245
8250.0 -1056.792436237746
8500.0 -1055.210245293954
8750.0 -1054.154460052782
9000.0 -1054.245847530376
9250.0 -1054.237348180636
9500.0 -1053.656910734797
9750.0 -1053.63325179801
10000.0 -1053.643385013836
10250.0 -1053.542041743062
10500.0 -1053.853675820003
10750.0 -1054.091103707389
11000.0 -1053.713901289612
11250.0 -1053.425336861987
11500.0 -1053.615761023668
11750.0 -1053.55082381727
12000.0 -1053.8338803147
12250.0 -1053.576736507396
12500.0 -1053.573454624073
12750.0 -1054.042958138981
13000.0 -1053.555064995081
13250.0 -1053.144668402439
13500.0 -1053.639231075421
13750.0 -1053.847542982987
14000.0 -1053.58797037138
14250.0 -1052.298252598136
14500.0 -1051.59385356246
14750.0 -1050.485669707364
15000.0 -1049.021811233376
15250.0 -1047.661864871283
15500.0 -1046.891238491397
15750.0 -1044.776690872254
16000.0 -1043.366112097945
16250.0 -1042.956301648754
16500.0 -1042.148232072452
16750.0 -1039.572599479371
17000.0 -1038.401346040422
17250.0 -1038.296721950924
17500.0 -1036.739961560499
17750.0 -1036.086432761049
18000.0 -1036.341922935303
18250.0 -1035.751420346814
18500.0 -1035.709600972514
18750.0 -1036.638159553119
19000.0 -1035.78989946566
19250.0 -1035.203518808406
19500.0 -1035.953171526047
19750.0 -1036.13620059748
20000.0 -1035.905975424857
20250.0 -1036.061745084324
20500.0 -1035.781617246048
20750.0 -1036.50630515443
21000.0 -1035.799075674847
21250.0 -1036.099977030048
21500.0 -1035.555812063279
21750.0 -1035.859519113956
22000.0 -1035.204589989074
22250.0 -1035.403883995692
22500.0 -1035.032414083563
22750.0 -1035.268277326575
23000.0 -1033.973884672063
23250.0 -1032.116031236398
23500.0 -1032.157734916442
23750.0 -1030.594126638166
24000.0 -1030.383501714447
24250.0 -1028.168297486227
24500.0 -1027.687446412949
24750.0 -1026.4825925134
25000.0 -1026.293963638857
25250.0 -1022.800984823721
25500.0 -1023.285400196189
25750.0 -1020.595273479418
26000.0 -1019.822790445158
26250.0 -1019.275574985416
26500.0 -1018.330574572773
26750.0 -1017.598075398396
27000.0 -1018.324875799672
27250.0 -1018.138351047977
27500.0 -1017.764926535527
27750.0 -1018.667055373942
28000.0 -1017.570977722506
28250.0 -1016.692454055396
28500.0 -1017.481901319925
28750.0 -1017.725092710253
29000.0 -1017.942531271266
29250.0 -1018.100239722634
29500.0 -1015.972785677124
29750.0 -1017.292764469176
30000.0 -1017.043494974439
30250.0 -1016.505246847753
30500.0 -1017.439160571739
30750.0 -1017.523209113277
31000.0 -1018.052157032118
31250.0 -1017.75343687576
31500.0 -1018.034054678506
31750.0 -1016.801145137001
32000.0 -1017.470171574142
32250.0 -1017.488706617298
32500.0 -1017.95772475121
32750.0 -1017.887232209446
33000.0 -1016.831052059193
33250.0 -1016.932142650639
33500.0 -1016.107005953287
33750.0 -1016.346213985922
34000.0 -1015.832316044186
34250.0 -1015.553460719476
34500.0 -1016.485699898502
34750.0 -1018.161680916184
35000.0 -1018.178430316472
35250.0 -1017.208865614038
35500.0 -1016.385676712464
35750.0 -1017.560674779278
36000.0 -1017.974970033034
36250.0 -1019.039526683488
36500.0 -1019.118423804858
36750.0 -1017.379717080968
37000.0 -1017.446645272985
37250.0 -1016.600508384873
37500.0 -1017.911779709877
Curve MD-BerTstat1Temperature
0.0 0.0
250.0 102.4119552621582
500.0 103.2705789390825
750.0 97.15812399080507
1000.0 100.5787692308809
1250.0 100.8567876546662
1500.0 99.42717439457519
1750.0 101.3575133678698
2000.0 104.9852912041926
2250.0 102.0665981731777
2500.0 101.3715546836519
2750.0 101.7930144287575
3000.0 98.48510811919897
3250.0 98.19117703481048
3500.0 99.12709298786214
3750.0 100.1776435864218
4000.0 99.45595686400263
4250.0 101.1836336240106
4500.0 100.0480453118018
4750.0 101.2971346944293
5000.0 99.54806744304226
5250.0 105.6327005907253
5500.0 113.3373869931608
5750.0 133.4423283868122
6000.0 144.9176148898293
6250.0 151.8609177186366
6500.0 176.5284099791388
6750.000000000001 185.4200074780632
6999.999999999999 193.2396373574004
7250.0 203.3369943017194
7500.0 213.6454354353207
7750.0 221.9323468675576
8000.0 256.8879874464469
8250.0 278.4318758353899
8500.0 269.5492605563533
8750.0 299.1446807011972
9000.0 306.5933400157805
9250.0 290.0261139531532
9500.0 299.2580366848053
9750.0 305.9867804842573
10000.0 313.2247584827133
10250.0 291.2981729292954
10500.0 299.190693253149
10750.0 308.1057547191358
11000.0 295.1651959738093
11250.0 304.3189755094496
11500.0 296.7580851617086
11750.0 295.6731336918138
12000.0 308.1939469657206
12250.0 284.6873512145081
12500.0 304.7384714354831
12750.0 310.5177642893994
13000.0 292.0627434148373
13250.0 290.0991193394266
13500.0 305.5162714439226
13750.0 315.6291247261088
14000.0 295.6277722560027
14250.0 308.8587549874497
14500.0 325.7727853465327
14750.0 326.1874870782661
15000.0 358.5894591036514
15250.0 385.1893503732881
15500.0 387.2844411110237
15750.0 378.7856620224862
16000.0 415.7763414075196
16250.0 424.929085939112
16500.0 444.6976743673516
16750.0 441.2027358604852
17000.0 472.4864095218306
17250.0 483.0194904753279
17500.0 476.7126491141492
17750.0 511.2360383863447
18000.0 501.1199852123287
18250.0 488.1979421947334
18500.0 501.7694155802419
18750.0 493.9290942631618
19000.0 489.0600732147033
19250.0 496.4623468817395
19500.0 514.9801463623321
19750.0 485.1936227860901
20000.0 497.4104757067477
20250.0 492.924582298728
20500.0 518.3254623738295
20750.0 500.649163700738
21000.0 502.1819488435247
21250.0 490.2386214063507
21500.0 496.1295097306857
21750.0 514.6682557671846
22000.0 492.8928211005041
22250.0 498.5301418706048
22500.0 504.2838045238379
22750.0 493.5998540934166
23000.0 510.9087410428352
23250.0 551.3789539926564
23500.0 551.5518301755001
23750.0 563.6381727270524
24000.0 573.3801451763248
24250.0 569.6086310639375
24500.0 596.0082696998602
24750.0 614.617154677505
25000.0 627.5572349000756
25250.0 643.8382294705191
25500.0 641.4593551085512
25750.0 627.6296512225202
26000.0 668.634437794993
26250.0 703.439889482377
26500.0 698.272250658021
26750.0 714.3514530732319
27000.0 723.1999879710677
27250.0 702.3926133565428
27500.0 679.998471010918
27750.0 718.4641199493717
28000.0 651.4579823212766
28250.0 678.1125754551003
28500.0 709.2730607499169
28750.0 691.7424876208435
29000.0 691.4301963778317
29250.0 707.6873588887397
29500.0 681.5655173771689
29750.0 725.2750905243531
30000.0 713.8679691021199
30250.0 685.3207840120197
30500.0 716.7370053802061
30750.0 680.8630324511189
31000.0 698.5001389730182
31250.0 708.8100505126522
31500.0 696.162461232923
31750.0 686.2905994048037
32000.0 712.3164040281108
32250.0 720.3128400159069
32500.0 718.3261879850265
32750.0 713.695808491421
33000.0 701.6770134473671
33250.0 706.8260758402492
33500.0 694.5748741793205
33750.0 683.1434654000409
34000.0 731.1083785904672
34250.0 706.6473937842967
34500.0 724.3008413127455
34750.0 699.2753400691913
35000.0 682.7160774763582
35250.0 703.1497326817819
35500.0 712.8364501941302
35750.0 707.3571212567073
36000.0 695.9857730072325
36250.0 719.9479108752899
36500.0 669.084897973398
36750.0 704.5699175837345
37000.0 688.9602123182029
37250.0 704.0408684907126
37500.0 683.0142298204804
